"DESCRIPCION";"TAMAÑO";"CODIGO_POSTAL";"BARRIO";"NUMERO"
"BOXER";"Mediano";"33209";"Ceares/Ciares";1
"MASTÍN";"Grande";"33201";"Cimavilla";1
"MASTÍN";"Grande";"33208";"El Llano";1
"MASTÍN";"Mediano";"33350";"Llavandera";1
"MESTIZO";"Grande";"33691";"Puao";1
"MESTIZO";"Mediano";"33204";"El Coto";1
"MESTIZO";"Mediano";"33206";"Centro";1
"MESTIZO";"Mediano";"33207";"El Polígono";1
"MESTIZO";"Mediano";"33209";"El Llano";1
"MESTIZO";"Mediano";"33209";"Contrueces";1
"MESTIZO";"Mediano";"33211";"Roces (rural)";1
"MESTIZO";"Mediano";"33212";"Moreda";1
"MESTIZO";"Mediano";"33212";"El Natahoyo";1
"MESTIZO";"Mediano";"33290";"Jove/Xove";1
"DOBERMAN";"Mediano";"33203";"Somió";1
"AKITA INU";"Grande";"33208";"El Llano";1
"AKITA INU";"Mediano";"33203";"Somió";1
"AKITA INU";"Mediano";"33208";"El Llano";1
"AKITA INU";"Mediano";"33211";"Roces";1
"AKITA INU";"Mediano";"33212";"El Natahoyo";1
"ROTTWEILER";"Grande";"33202";"Centro";2
"ROTTWEILER";"Grande";"33202";"L' Arena";1
"ROTTWEILER";"Grande";"33203";"Somió";3
"ROTTWEILER";"Grande";"33203";"L' Arena";1
"ROTTWEILER";"Grande";"33204";"El Coto";2
"ROTTWEILER";"Grande";"33207";"Laviada";2
"ROTTWEILER";"Grande";"33207";"El Polígono";1
"ROTTWEILER";"Grande";"33209";"Roces";1
"ROTTWEILER";"Grande";"33209";"Ceares/Ciares";1
"ROTTWEILER";"Grande";"33210";"Pumarín";1
"ROTTWEILER";"Grande";"33210";"Contrueces";1
"ROTTWEILER";"Grande";"33211";"Montevil";1
"ROTTWEILER";"Grande";"33211";"Perchera/La Braña";1
"ROTTWEILER";"Grande";"33213";"La Calzada";6
"ROTTWEILER";"Grande";"33392";"Ruedes";1
"ROTTWEILER";"Grande";"33392";"Porceyo";1
"ROTTWEILER";"Grande";"33394";"Santurio";1
"ROTTWEILER";"Mediano";"33201";"Centro";1
"ROTTWEILER";"Mediano";"33202";"Centro";2
"ROTTWEILER";"Mediano";"33202";"L' Arena";2
"ROTTWEILER";"Mediano";"33203";"Somió";13
"ROTTWEILER";"Mediano";"33204";"El Coto";6
"ROTTWEILER";"Mediano";"33204";"L' Arena";1
"ROTTWEILER";"Mediano";"33204";"Viesques";2
"ROTTWEILER";"Mediano";"33205";"Centro";2
"ROTTWEILER";"Mediano";"33205";"El Coto";3
"ROTTWEILER";"Mediano";"33206";"Centro";4
"ROTTWEILER";"Mediano";"33207";"Laviada";3
"ROTTWEILER";"Mediano";"33207";"El Polígono";5
"ROTTWEILER";"Mediano";"33208";"Centro";1
"ROTTWEILER";"Mediano";"33208";"Pumarín";2
"ROTTWEILER";"Mediano";"33208";"El Llano";6
"ROTTWEILER";"Mediano";"33209";"El Coto";3
"ROTTWEILER";"Mediano";"33209";"El Llano";7
"ROTTWEILER";"Mediano";"33209";"Ceares/Ciares";1
"ROTTWEILER";"Mediano";"33209";"Roces (rural)";1
"ROTTWEILER";"Mediano";"33210";"Pumarín";8
"ROTTWEILER";"Mediano";"33210";"El Llano";3
"ROTTWEILER";"Mediano";"33210";"Montevil";1
"ROTTWEILER";"Mediano";"33210";"Contrueces";2
"ROTTWEILER";"Mediano";"33211";"Roces";4
"ROTTWEILER";"Mediano";"33211";"Montevil";1
"ROTTWEILER";"Mediano";"33211";"Tremañes";1
"ROTTWEILER";"Mediano";"33211";"Perchera/La Braña";3
"ROTTWEILER";"Mediano";"33211";"Nuevo Gijón/La Peral";3
"ROTTWEILER";"Mediano";"33212";"Moreda";2
